,Name,b,B,a,rel_t,ins_angle,Delta_in,Delta_out,center_X,center_Y,F,Ixx,Iyy,Wxx_back,Wxx_edge,Wyy_in_edge,Wyy_out_edge
0,С-90-09А,0.0606,0.028640000000000002,0.006889999999999999,0.75,29.1,0.0027,0.00028000000000000003,0.01865,0.00884,1.8650000000000001e-06,4.16e-09,6.22e-08,5.779999999999999e-07,4.71e-07,3.3300000000000003e-06,1.475e-06
1,С-90-12А,0.0625,0.0332,0.00956,0.75,33.2,0.0037,0.00031,0.0193,0.01027,1.93e-06,5.91e-09,7.51e-08,8.5e-07,5.75e-07,3.89e-06,1.74e-06
2,С-90-15А,0.05146,0.0308,0.0099,0.75,38.0,0.00335,0.0004,0.01747,0.00796,1.747e-06,3.6e-09,4.6300000000000004e-08,5.100000000000001e-07,4.5000000000000003e-07,2.58e-06,1.3899999999999998e-06
3,С-90-18А,0.04715,0.030670000000000003,0.01124,0.75,42.3,0.00335,0.0003,0.0165,0.00729,1.65e-06,2.43e-09,3.2200000000000004e-08,3.8800000000000003e-07,3.3300000000000003e-07,1.95e-06,1.045e-06
4,С-90-22А,0.045,0.03147,0.01267,0.75,45.7,0.00254,0.00032,0.01725,0.00632,1.7250000000000002e-06,1.67e-09,2.48e-08,2.69e-07,2.65e-07,1.44e-06,6.9e-07
5,С-90-27А,0.045,0.03261,0.0143,0.75,48.3,0.003,0.00027,0.015300000000000001,0.00596,1.53e-06,1.1600000000000001e-09,2.2349999999999998e-08,2.3699999999999996e-07,1.9499999999999999e-07,1.46e-06,7.53e-07
6,С-90-33А,0.045,0.0357,0.01731,0.75,54.0,0.0023,0.00027,0.0161,0.00554,1.61e-06,9e-10,2.08e-08,1.97e-07,1.6300000000000004e-07,1.2919999999999999e-06,7.19e-07
7,С-90-38А,0.045,0.03917,0.01805,0.65,61.7,0.0018,0.00031,0.01715,0.0057,1.7149999999999999e-06,8.1e-10,1.99e-08,1.97e-07,1.4099999999999998e-07,1.16e-06,7.11e-07
8,Р-20-10А,0.025,0.021929999999999998,0.0030099999999999997,0.7,66.0,0.00092,0.0003,0.00983,0.011130000000000001,9.83e-07,4.3000000000000005e-09,1.0100000000000001e-08,5e-07,3.8999999999999997e-07,9.64e-07,6.6e-07
9,Р-23-14А,0.02595,0.02529,0.00456,0.7,77.8,0.0004,0.0002,0.01047,0.011130000000000001,1.0469999999999999e-06,4.3000000000000005e-09,1.0100000000000001e-08,5e-07,3.8999999999999997e-07,9.64e-07,6.6e-07
10,Р-26-17А,0.02572,0.02502,0.00517,0.65,75.8,0.00038,0.0002,0.01046,0.00954,1.046e-06,2.1500000000000002e-09,7.35e-09,3.17e-07,2.2500000000000002e-07,6.840000000000001e-07,4.82e-07
11,Р-30-21А,0.02595,0.02547,0.0059299999999999995,0.6,79.5,0.00053,0.0002,0.01053,0.00863,1.053e-06,2.0499999999999997e-09,7.25e-09,3e-07,2.34e-07,6.68e-07,4.3299999999999997e-07
12,Р-35-25А,0.02541,0.02498,0.00625,0.6,80.3,0.00068,0.0002,0.01092,0.0078,1.0919999999999999e-06,1.31e-09,6.54e-09,2.27e-07,1.6800000000000002e-07,4.5300000000000005e-07,6.06e-07
13,Р-46-29А,0.0256,0.02487,0.00674,0.55,77.0,0.0006,0.0002,0.01066,0.0062699999999999995,1.0659999999999998e-06,7.099999999999998e-10,4.460000000000001e-09,1.5399999999999998e-07,1.1200000000000001e-07,4.1599999999999997e-07,3.01e-07
14,Р-50-33А,0.02561,0.02494,0.00624,0.5,77.5,0.00054,0.00017,0.01064,0.00564,1.0639999999999999e-06,4.4e-10,3.94e-09,1.03e-07,7.9e-08,3.7299999999999997e-07,2.62e-07
15,Р-60-38А,0.02607,0.02509,0.00731,0.5,75.5,0.0005200000000000001,0.0002,0.0101,0.0052,1.01e-06,1.8e-10,3.1600000000000003e-09,5.8e-08,3.5e-08,3.13e-07,1.98e-07
16,С-90-15Б,0.05195,0.030699999999999998,0.01414,0.75,37.6,0.00335,0.0003,0.01627,0.00784,1.627e-06,3.2600000000000007e-09,4.6e-08,4.82e-07,4.13e-07,2.8300000000000004e-06,1.291e-06
17,Р-26-17Б,0.0254,0.02502,0.00461,0.65,78.7,0.0002,0.0002,0.010369999999999999,0.01,1.0369999999999998e-06,2.96e-09,8.9e-09,4.2e-07,2.96e-07,6.860000000000001e-06,5.92e-07
18,Р-30-12Б,0.0201,0.01993,0.00429,0.6,82.5,0.00016,0.00016,0.00923,0.0073,9.230000000000001e-07,7.3e-10,2.61e-09,1.47e-07,1.01e-07,2.8699999999999996e-07,2.3899999999999996e-07
